date,shop,items,cost,method,category,notes
08-Dec,Sue & Jesse Burrows,Rent December,£380.00,E-Transfer,accom,
09-Dec,Sainsbury's,Food,£40.02,Halifax debit,food,
10-Dec,Caffe Nero,Hot Choc + Paper,£3.05,cash,food,
10-Dec,Debenhams,Bedding,£31.60,Halifax debit,living,
10-Dec,Robert Dyas,Bits,£6.66,cash,living,
10-Dec,IKEA,Laundry bin,£3.29,cash,living,
10-Dec,,Lunch,£2.15,cash,food,
10-Dec,Apple,Macbook Pro,"£1,599.00",Halifax debit,tech,
11-Dec,Borders,Textbooks,£31.58,Halifax debit,education,
11-Dec,Sainsbury's,Lunch,£1.80,cash,food,
11-Dec,Boots,Shampoo,£3.39,cash,hygiene,
12-Dec,Tesco,Cake supplies,£9.95,cash,food,
12-Dec,Waitrose,Cake supplies,£5.63,cash,food,
13-Dec,Watershed,For A Fistful of Dollars,£3.50,cash,entertainment,
13-Dec,Caffe Gusto,Hot Choc,£2.35,cash,food,
13-Dec,Some guy,Guitar,£30.00,cash,entertainment,
14-Dec,Sainsbury's,Food,£10.03,,food,
15-Dec,Sainsbury's,Food,£16.33,Halifax debit,food,
16-Dec,Uni of Bristol,Swimming membership,£65.00,Halifax cheque,sport,
16-Dec,Borders,Stationery,£2.25,cash,living,
16-Dec,Guild,Candles + Marmalades,£10.20,cash,xmas,
16-Dec,Fopp,The Thick Of It DVD,£13.00,Halifax debit,xmas,
16-Dec,Stationery World,Card supplies,£3.70,cash,xmas,
16-Dec,Waterstones,Paperblanks diary,£11.99,Halifax debit,xmas,
16-Dec,Oxfam,Cards + Teabags,£3.58,cash,xmas,
16-Dec,Boulangerie,Baguette + Cake,£1.85,cash,food,
16-Dec,Ryman,Glue,£1.29,cash,xmas,
16-Dec,Sainsbury's,Food,£4.19,Halifax debit,food,
16-Dec,Sue & Jesse Burrows,Tenancy deposit,£0.00,Halifax cheque,accom,refunded at end of tenancy
17-Dec,Uni of Bristol,Swimming,£2.00,cash,sport,
17-Dec,White Stuff,Scarf for Kate,£19.95,Halifax debit,xmas,
17-Dec,Culpeper,Creams for Mum,£17.00,Halifax debit,xmas
18-Dec,Sainsbury's,Food,£16.58,Halifax debit,food
19-Dec,Borders,Textbooks,£13.55,Halifax debit,education
20-Dec,Watershed,"The Good, The Bad & The Ugly",£3.50,cash,entertainment
20-Dec,Falafel King,Falafel,£3.50,cash,food
20-Dec,Ryanair,Flight Stansted-Hahn,£124.00,BCEE credit,travel
20-Dec,Flibco,Bus Hahn-Lux,17EUR,BCEE credit,travel
21-Dec,Borders,Calendars,£11.88,cash,xmas
21-Dec,Sainsbury's,Food,£6.79,Halifax debit,food
21-Dec,Post Office,Parcel box,£1.79,cash,xmas
21-Dec,Post Office,Xmas Mail,£7.39,cash,xmas
21-Dec,Post Office,Food,£1.58,cash,xmas
24-Dec,Cactus,Webcam,17EUR,BCEE debit,xmas
24-Dec,Ernster,Lux Dictionary,39EUR,BCEE debit,xmas
30-Dec,Taxi,Ride,£6.50,cash,travel
31-Dec,Sainsbury's,Food,£13.97,Halifax debit,food
31-Dec,Watershed,Nowhere Boy,£3.50,cash,entertainment,Loyalty card 35p
02-Jan,Sainsbury's,Food,£12.35,cash,food,
03-Jan,Watershed,Whisky Galore,£3.50,cash,entertainment,Loyalty card 70p
03-Jan,JohnLewis.co.uk,Replacement bowl + towel,£32.00,Halifax debit,living,
05-Jan,Vodafone,Top-Up,£10.00,cash,comms,
05-Jan,Sainsbury's,Food,£14.59,cash,food,
05-Jan,Waitrose,Food,£0.66,cash,food,
07-Jan,Mountain Warehouse,Ski gloves,£17.99,cash,sport,
07-Jan,Sports,Goggles,£2.99,cash,sport,
07-Jan,Thoughts,Card,£1.49,cash,comms,
07-Jan,Watershed,Departures,£6.50,cash,entertainment,Loyalty card £1.35
07-Jan,Sue & Jesse Burrows,Rent January,£380.00,E-Transfer,accom,
08-Jan,Market,Laurie Lee book,£1.50,cash,education,
08-Jan,YHA,Hot chocolate,£1.75,cash,food,
08-Jan,Waitrose,Food,£12.01,cash,food,
08-Jan,Sainsbury's,Food,£14.23,cash,food,
10-Jan,Welsh Back,Squash Membership,£50.00,Halifax cheque,sport,
11-Jan,Tesco,Food,£5.72,Halifax debit,food,
11-Jan,Sainsbury's,Food,£7.93,cash,food,
12-Jan,Uni of Bristol,Swimming,£2.00,cash,sport,
15-Jan,Boulangerie,Cake,£0.85,cash,food,
15-Jan,Timpson's,Padlock,£2.25,cash,living,
15-Jan,Guild,Chocs for Mum,£4.87,cash,xmas,
15-Jan,Rise,DVD for Mum,£5.00,cash,xmas,
15-Jan,Sainsbury's,Food,£6.46,cash,food,
15-Jan,Amazon.co.uk,Spanish textbooks,£26.50,Halifax debit,education,
15-Jan,Watershed,The Road,£6.50,cash,entertainment,Loyalty card £2
16-Jan,Bristol Ticket Shop,Folk House + Laura V tix,£22.00,Halifax debit,entertainment,
16-Jan,Sainsbury's,Food,£11.79,Halifax debit,food,
16-Jan,Waitrose,Food,£3.19,cash,food,
17-Jan,Welsh Back,Squash,£5.00,cash,sport,
19-Jan,Tesco,Food,£9.48,cash,food,
19-Jan,Post Office,Parcel to Mum,£3.98,cash,xmas,
19-Jan,Sainsbury's,Food,£12.51,Halifax debit,food,
20-Jan,Street stall,Soup,£1,cash,food,
20-Jan,Sainsbury's,Food,£12.14,Halifax debit,food,
20-Jan,Sainsbury's,Kitchen bathroom supplies,£8.12,Halifax debit,living,
21-Jan,Uni of Bristol,Swimming,£2.00,cash,sport,
21-Jan,Corner shop,Cookies,£0.59,cash,food,
21-Jan,Watershed,Up In The Air,£6.50,cash,entertainment,Loyalty card £2.65
22-Jan,Amazon.co.uk,Kodak Zi8,£123.48,Halifax debit,tech,
22-Jan,Sainsbury's,Food,£4.18,cash,food,
22-Jan,Waitrose,Food,£2.96,cash,food,
24-Jan,Welsh Back,Squash,£5.00,cash,sport,
26-Jan,Sainsbury's,Food,£12.17,Halifax debit,food,
29-Jan,Watershed,Lunch,£3.50,cash,food,
29-Jan,Watershed,Un prophete,£3.50,cash,entertainment,Loyalty card £3
29-Jan,Sainsbury's,Food,£13.64,Halifax debit,food,
30-Jan,Waitrose,Food,£4.14,cash,food
31-Jan,Welsh Back,Squash,£5.00,cash,sport
31-Jan,YHA,Snack,£1.60,cash,food
01-Feb,Sainsbury's,Food,£6.40,cash,food
01-Feb,Watershed,Cinephiles,£2.50,cash,education
02-Feb,Sainsbury's,Food,£6.33,Halifax debit,food
03-Feb,St Georges Hall,Levy ticket,£10.50,Halifax debit,entertainment
05-Feb,Tesco,Snack,£0.82,cash,food
05-Feb,Primark,Clothes,£13.00,cash,clothes
05-Feb,Superdrug,Toothbrushes,£3.15,cash,hygiene
05-Feb,Pasty shop,Food,£2.70,cash,food
07-Feb,Sue & Jesse Burrows,Rent February,£380.00,E-Transfer,accom
07-Feb,Sainsbury's,Food,£15.18,Halifax debit,food
07-Feb,Welsh Back,Squash,£5.00,cash,sport
09-Feb,Welsh Back,Squash,£5.00,cash,sport
09-Feb,Sainsbury's,Food,£15.21,Halifax debit,food
11-Feb,Sainsbury's,Food,£3.31,cash,food,
13-Feb,Sainsbury's,Food,£16.65,Halifax debit,food,
13-Feb,Waitrose,Food,£0.81,cash,food,
13-Feb,Chris van Marle,Skiing Holiday Payment,£595.00,E-Transfer,holiday,
14-Feb,Amazon.co.uk,3 books,£16.63,Halifax debit,education,
14-Feb,eBay,DVD-Rs,£11.95,Barclays via PayPal,tech,
16-Feb,Sainsbury's,Food,£9.29,cash,food,
19-Feb,Oswald Bailey,Ski thermals + choob,£29.99,Halifax debit,holiday,
19-Feb,Folk House,Comics course,£27.50,Halifax debit,education,
19-Feb,Boulangerie,Lunch,£2.55,cash,food,
19-Feb,Stationery World,Art materials,£6.23,cash,education,
19-Feb,Welsh Back,Squash,£5.00,cash,sport,
19-Feb,Tesco,Juice,£2.50,cash,food,
21-Feb,Tesco,Food,£5.45,cash,food,
23-Feb,Watershed,A Single Man,£0.00,Loyalty card,entertainment,Loyalty card 20p
22-Feb,Megabus,Bus to London,£12.50,Halifax debit,holiday,
23-Feb,Sainsbury's,Food,£18.35,Halifax debit,food,
25-Feb,Sainsbury's,Food,£4.58,cash,food,
26-Feb,Welsh Back,Squash,£5.00,cash,sport,
27-Feb,Sainsbury's,Food,£14.86,Halifax debit,food,
01-Mar,Post Office,RPM Parcel,£1.68,cash,entertainment,
01-Mar,Post Office,Milk,£0.85,cash,food,
01-Mar,National Rail,Bristol -> Bath,£5.80,Halifax debit,travel,
01-Mar,Cornish Pasty Co,Lunch,£2.30,cash,food,
01-Mar,WHSmith,Pens,£3.58,cash,living,
01-Mar,Camera Shop,Batteries,£3.50,cash,entertainment,
